river;agency;station_code;station_name;date;discharge;flag
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-28 00:00:00;11500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-29 00:00:00;11500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-30 00:00:00;11400;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-01 00:00:00;11200;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-02 00:00:00;11200;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-03 00:00:00;11100;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-04 00:00:00;10900;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-05 00:00:00;10800;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-06 00:00:00;10700;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-07 00:00:00;10600;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-08 00:00:00;10600;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-09 00:00:00;10500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-10 00:00:00;10500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-11 00:00:00;10500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-12 00:00:00;10500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-13 00:00:00;10100;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-14 00:00:00;9910;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-15 00:00:00;9850;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-16 00:00:00;9710;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-17 00:00:00;9630;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-18 00:00:00;9570;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-19 00:00:00;9490;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-20 00:00:00;9340;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-21 00:00:00;9060;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-22 00:00:00;8920;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-23 00:00:00;8780;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-24 00:00:00;8640;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-25 00:00:00;8500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-26 00:00:00;8440;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-27 00:00:00;8350;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-28 00:00:00;8210;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-29 00:00:00;8070;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-30 00:00:00;7930;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-10-31 00:00:00;7840;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-01 00:00:00;7650;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-02 00:00:00;7560;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-03 00:00:00;7450;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-04 00:00:00;7360;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-05 00:00:00;7160;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-06 00:00:00;7020;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-07 00:00:00;6800;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-08 00:00:00;6650;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-09 00:00:00;6510;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-10 00:00:00;6310;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-11 00:00:00;6090;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-12 00:00:00;5950;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-13 00:00:00;5660;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-14 00:00:00;5520;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-15 00:00:00;5300;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-16 00:00:00;5100;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-17 00:00:00;4960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-18 00:00:00;4810;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-19 00:00:00;4760;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-20 00:00:00;4620;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-21 00:00:00;4530;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-22 00:00:00;4470;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-23 00:00:00;4390;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-24 00:00:00;4390;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-25 00:00:00;4390;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-26 00:00:00;4390;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-27 00:00:00;4390;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-28 00:00:00;4470;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-29 00:00:00;4530;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-11-30 00:00:00;4590;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-01 00:00:00;4640;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-02 00:00:00;4670;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-03 00:00:00;4730;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-04 00:00:00;4760;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-05 00:00:00;4810;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-06 00:00:00;4810;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-07 00:00:00;4790;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-08 00:00:00;4670;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-09 00:00:00;4640;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-10 00:00:00;4590;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-11 00:00:00;4560;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-12 00:00:00;4530;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-13 00:00:00;4500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-14 00:00:00;4500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-15 00:00:00;4420;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-16 00:00:00;4390;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-17 00:00:00;4330;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-18 00:00:00;4300;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-19 00:00:00;4250;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-20 00:00:00;4220;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-21 00:00:00;4190;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-22 00:00:00;4160;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-23 00:00:00;4130;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-24 00:00:00;4130;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-25 00:00:00;4110;A
