river;agency;station_code;station_name;date;discharge;flag;Datetime;Datetime Kusur;Time to add for correction;Datetime Samoylov
Lena;Roshydromet;3821;Kyusyur;28.05.2000;123000;A;12:00:00 PM;28.05.2000 12:00;60:00:00;2000-05-31 00:00:00
Lena;Roshydromet;3821;Kyusyur;29.05.2000;132000;A;12:00:00 PM;29.05.2000 12:00;60:00:00;2000-06-01 00:00:00
Lena;Roshydromet;3821;Kyusyur;30.05.2000;117000;A;12:00:00 PM;30.05.2000 12:00;60:00:00;2000-06-02 00:00:00
Lena;Roshydromet;3821;Kyusyur;31.05.2000;107000;A;12:00:00 PM;31.05.2000 12:00;60:00:00;2000-06-03 00:00:00
Lena;Roshydromet;3821;Kyusyur;01.06.2000;98900;A;12:00:00 PM;01.06.2000 12:00;60:00:00;2000-06-04 00:00:00
Lena;Roshydromet;3821;Kyusyur;02.06.2000;93400;A;12:00:00 PM;02.06.2000 12:00;60:00:00;2000-06-05 00:00:00
Lena;Roshydromet;3821;Kyusyur;03.06.2000;88400;A;12:00:00 PM;03.06.2000 12:00;60:00:00;2000-06-06 00:00:00
Lena;Roshydromet;3821;Kyusyur;04.06.2000;83400;A;12:00:00 PM;04.06.2000 12:00;60:00:00;2000-06-07 00:00:00
Lena;Roshydromet;3821;Kyusyur;05.06.2000;79200;A;12:00:00 PM;05.06.2000 12:00;60:00:00;2000-06-08 00:00:00
Lena;Roshydromet;3821;Kyusyur;06.06.2000;75400;A;12:00:00 PM;06.06.2000 12:00;60:00:00;2000-06-09 00:00:00
Lena;Roshydromet;3821;Kyusyur;07.06.2000;72500;A;12:00:00 PM;07.06.2000 12:00;60:00:00;2000-06-10 00:00:00
Lena;Roshydromet;3821;Kyusyur;08.06.2000;70400;A;12:00:00 PM;08.06.2000 12:00;60:00:00;2000-06-11 00:00:00
Lena;Roshydromet;3821;Kyusyur;09.06.2000;68600;A;12:00:00 PM;09.06.2000 12:00;60:00:00;2000-06-12 00:00:00
Lena;Roshydromet;3821;Kyusyur;10.06.2000;66800;A;12:00:00 PM;10.06.2000 12:00;60:00:00;2000-06-13 00:00:00
Lena;Roshydromet;3821;Kyusyur;11.06.2000;66100;A;12:00:00 PM;11.06.2000 12:00;60:00:00;2000-06-14 00:00:00
Lena;Roshydromet;3821;Kyusyur;12.06.2000;66100;A;12:00:00 PM;12.06.2000 12:00;60:00:00;2000-06-15 00:00:00
Lena;Roshydromet;3821;Kyusyur;13.06.2000;65600;A;12:00:00 PM;13.06.2000 12:00;60:00:00;2000-06-16 00:00:00
Lena;Roshydromet;3821;Kyusyur;14.06.2000;65200;A;12:00:00 PM;14.06.2000 12:00;60:00:00;2000-06-17 00:00:00
Lena;Roshydromet;3821;Kyusyur;15.06.2000;65200;A;12:00:00 PM;15.06.2000 12:00;60:00:00;2000-06-18 00:00:00
Lena;Roshydromet;3821;Kyusyur;16.06.2000;65300;A;12:00:00 PM;16.06.2000 12:00;60:00:00;2000-06-19 00:00:00
Lena;Roshydromet;3821;Kyusyur;17.06.2000;65200;A;12:00:00 PM;17.06.2000 12:00;60:00:00;2000-06-20 00:00:00
Lena;Roshydromet;3821;Kyusyur;18.06.2000;66300;A;12:00:00 PM;18.06.2000 12:00;60:00:00;2000-06-21 00:00:00
Lena;Roshydromet;3821;Kyusyur;19.06.2000;67400;A;12:00:00 PM;19.06.2000 12:00;60:00:00;2000-06-22 00:00:00
Lena;Roshydromet;3821;Kyusyur;20.06.2000;67600;A;12:00:00 PM;20.06.2000 12:00;60:00:00;2000-06-23 00:00:00
Lena;Roshydromet;3821;Kyusyur;21.06.2000;65900;A;12:00:00 PM;21.06.2000 12:00;60:00:00;2000-06-24 00:00:00
Lena;Roshydromet;3821;Kyusyur;22.06.2000;64700;A;12:00:00 PM;22.06.2000 12:00;60:00:00;2000-06-25 00:00:00
Lena;Roshydromet;3821;Kyusyur;23.06.2000;63400;A;12:00:00 PM;23.06.2000 12:00;60:00:00;2000-06-26 00:00:00
Lena;Roshydromet;3821;Kyusyur;24.06.2000;62400;A;12:00:00 PM;24.06.2000 12:00;60:00:00;2000-06-27 00:00:00
Lena;Roshydromet;3821;Kyusyur;25.06.2000;60600;A;12:00:00 PM;25.06.2000 12:00;60:00:00;2000-06-28 00:00:00
Lena;Roshydromet;3821;Kyusyur;26.06.2000;58700;A;12:00:00 PM;26.06.2000 12:00;60:00:00;2000-06-29 00:00:00
Lena;Roshydromet;3821;Kyusyur;27.06.2000;57100;A;12:00:00 PM;27.06.2000 12:00;60:00:00;2000-06-30 00:00:00
Lena;Roshydromet;3821;Kyusyur;28.06.2000;56200;A;12:00:00 PM;28.06.2000 12:00;60:00:00;2000-07-01 00:00:00
Lena;Roshydromet;3821;Kyusyur;29.06.2000;55800;A;12:00:00 PM;29.06.2000 12:00;60:00:00;2000-07-02 00:00:00
Lena;Roshydromet;3821;Kyusyur;30.06.2000;54900;A;12:00:00 PM;30.06.2000 12:00;60:00:00;2000-07-03 00:00:00
Lena;Roshydromet;3821;Kyusyur;01.07.2000;54300;A;12:00:00 PM;01.07.2000 12:00;60:00:00;2000-07-04 00:00:00
Lena;Roshydromet;3821;Kyusyur;02.07.2000;53900;A;12:00:00 PM;02.07.2000 12:00;60:00:00;2000-07-05 00:00:00
Lena;Roshydromet;3821;Kyusyur;03.07.2000;53700;A;12:00:00 PM;03.07.2000 12:00;60:00:00;2000-07-06 00:00:00
Lena;Roshydromet;3821;Kyusyur;04.07.2000;52800;A;12:00:00 PM;04.07.2000 12:00;60:00:00;2000-07-07 00:00:00
Lena;Roshydromet;3821;Kyusyur;05.07.2000;51200;A;12:00:00 PM;05.07.2000 12:00;60:00:00;2000-07-08 00:00:00
