river,agency,station_code,station_name,date,discharge,flag,Datetime,Datetime Kusur,Time to add for correction,Datetime Samoylov
Lena,Roshydromet,3821,Kyusyur,1936-04-18,1190,A,12:00:00 nachm.,1936-04-18 12:00:00,60:00:00,1936-04-21 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-19,1180,A,12:00:00 nachm.,1936-04-19 12:00:00,60:00:00,1936-04-22 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-20,1170,A,12:00:00 nachm.,1936-04-20 12:00:00,60:00:00,1936-04-23 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-21,1160,A,12:00:00 nachm.,1936-04-21 12:00:00,60:00:00,1936-04-24 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-22,1160,A,12:00:00 nachm.,1936-04-22 12:00:00,60:00:00,1936-04-25 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-23,1150,A,12:00:00 nachm.,1936-04-23 12:00:00,60:00:00,1936-04-26 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-24,1140,A,12:00:00 nachm.,1936-04-24 12:00:00,60:00:00,1936-04-27 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-25,1140,A,12:00:00 nachm.,1936-04-25 12:00:00,60:00:00,1936-04-28 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-26,1140,A,12:00:00 nachm.,1936-04-26 12:00:00,60:00:00,1936-04-29 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-27,1140,A,12:00:00 nachm.,1936-04-27 12:00:00,60:00:00,1936-04-30 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-28,1140,A,12:00:00 nachm.,1936-04-28 12:00:00,60:00:00,1936-05-01 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-29,1140,A,12:00:00 nachm.,1936-04-29 12:00:00,60:00:00,1936-05-02 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-30,1140,A,12:00:00 nachm.,1936-04-30 12:00:00,60:00:00,1936-05-03 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-01,1140,A,12:00:00 nachm.,1936-05-01 12:00:00,60:00:00,1936-05-04 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-02,1140,A,12:00:00 nachm.,1936-05-02 12:00:00,60:00:00,1936-05-05 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-03,1140,A,12:00:00 nachm.,1936-05-03 12:00:00,60:00:00,1936-05-06 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-04,1140,A,12:00:00 nachm.,1936-05-04 12:00:00,60:00:00,1936-05-07 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-05,1140,A,12:00:00 nachm.,1936-05-05 12:00:00,60:00:00,1936-05-08 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-06,1140,A,12:00:00 nachm.,1936-05-06 12:00:00,60:00:00,1936-05-09 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-07,1140,A,12:00:00 nachm.,1936-05-07 12:00:00,60:00:00,1936-05-10 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-08,1140,A,12:00:00 nachm.,1936-05-08 12:00:00,60:00:00,1936-05-11 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-09,1350,A,12:00:00 nachm.,1936-05-09 12:00:00,60:00:00,1936-05-12 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-10,1560,A,12:00:00 nachm.,1936-05-10 12:00:00,60:00:00,1936-05-13 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-11,1770,A,12:00:00 nachm.,1936-05-11 12:00:00,60:00:00,1936-05-14 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-12,1980,A,12:00:00 nachm.,1936-05-12 12:00:00,60:00:00,1936-05-15 00:00:00
